support,itemsets
0.001277139208173691,frozenset({'Chicken Manjurian Gravy'})
0.002554278416347382,frozenset({'Veggie Mania'})
0.001277139208173691,frozenset({'Motichoor Laddu'})
0.005108556832694764,frozenset({'Bombay Halwa'})
0.001277139208173691,frozenset({'Egg Schezwan Rice'})
0.001277139208173691,frozenset({'Podi Dosai'})
0.001277139208173691,frozenset({'Pepper Thattai'})
0.0038314176245210726,frozenset({'Keerai Vadai'})
0.002554278416347382,frozenset({'Omapodi'})
0.001277139208173691,frozenset({'Sweet Of the Day'})
0.001277139208173691,frozenset({'Mushroom Pulao'})
0.005108556832694764,frozenset({'Diwali Spl Thali'})
0.002554278416347382,frozenset({'CornÂ\xa0&Â\xa0CheeseÂ\xa0Sandwich'})
0.002554278416347382,frozenset({'Chicken Fried Rice'})
0.0038314176245210726,frozenset({'Assorted Sweets 1 lb'})
0.001277139208173691,frozenset({'Plain Dosa'})
0.002554278416347382,frozenset({'RJM Kara Sev'})
0.0038314176245210726,frozenset({'Liver'})
0.001277139208173691,frozenset({'Mysore Dosai'})
0.0038314176245210726,frozenset({'Kuzhi Paniyaram'})
0.001277139208173691,frozenset({'Ice Cream'})
0.002554278416347382,frozenset({'Veg Fried Rice'})
0.002554278416347382,frozenset({'Thattai'})
0.001277139208173691,frozenset({'Karuveppilai Poondu Kuzhambu'})
0.001277139208173691,frozenset({'Peri Peri Shawarma'})
0.001277139208173691,frozenset({'Chicken Tikka Burger'})
0.001277139208173691,frozenset({'Dal Mixture'})
0.001277139208173691,frozenset({'Chana Samosa'})
0.001277139208173691,frozenset({'Pepper Tikka'})
0.001277139208173691,frozenset({'Cricket'})
0.001277139208173691,frozenset({'Badusha'})
0.001277139208173691,frozenset({'Chilli Garlic Potato Pops'})
0.001277139208173691,frozenset({'Mushroom Chilli Fries'})
0.001277139208173691,frozenset({'Schezwan Chicken Fried Rice'})
0.001277139208173691,frozenset({'Paneer Chilli Fries'})
0.001277139208173691,frozenset({'Butter Naan'})
0.001277139208173691,frozenset({'Appam'})
0.002554278416347382,frozenset({'Chicken Popcorn'})
0.001277139208173691,frozenset({'Chilli Bajji'})
0.002554278416347382,frozenset({'Ellu Murukku'})
0.001277139208173691,frozenset({'Event Section'})
0.001277139208173691,frozenset({'Double Cheese Pizza'})
0.001277139208173691,frozenset({'Masala Vadai'})
0.001277139208173691,frozenset({'Panner Pizza'})
0.001277139208173691,frozenset({'Loaded Chicken Olive Pizza'})
0.001277139208173691,frozenset({'9 Months'})
0.001277139208173691,frozenset({'Paal Katti Pattani Kurma Curry'})
0.001277139208173691,frozenset({'Rajapalayam Thattai'})
0.001277139208173691,frozenset({'Masala Tea'})
0.001277139208173691,frozenset({'Rasamalai'})
0.001277139208173691,frozenset({'Chicken Clear Soup'})
0.001277139208173691,frozenset({'Schezwan Maggi'})
0.001277139208173691,frozenset({'Chicken Lallypops'})
0.001277139208173691,frozenset({'Vegetable Fried Rice'})
0.001277139208173691,frozenset({'Paneer Pasanda'})
0.001277139208173691,frozenset({'Chicken Lollipop'})
0.001277139208173691,frozenset({'Egg Fried Rice'})
0.002554278416347382,frozenset({'Thala & Thalapathy Combo'})
0.001277139208173691,frozenset({'Masala Pasta'})
0.001277139208173691,frozenset({'Parcel Charge 1'})
0.001277139208173691,frozenset({'12 Session'})
0.001277139208173691,frozenset({'South Indian Thali'})
0.001277139208173691,frozenset({'Chapati'})
0.001277139208173691,frozenset({'Mushroom Pizza'})
0.001277139208173691,frozenset({'Szechwan Noodles'})
0.001277139208173691,frozenset({'Chicken Wings'})
0.001277139208173691,frozenset({'Kashmiri Naan'})
0.001277139208173691,frozenset({'Pineapple Rava Kesari'})
0.001277139208173691,frozenset({'Chilli Gobi'})
0.001277139208173691,frozenset({'Soda'})
0.005108556832694764,"frozenset({'Impossible Vegetable Laba', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Impossible Vegetable Laba', 'Impossible Dosai'})"
0.001277139208173691,"frozenset({'Impossible Veg Kothu Parotta', 'Impossible Dosai'})"
0.001277139208173691,"frozenset({'Impossible Schezwan Fried Rice', 'Impossible Vegetable Omelette'})"
0.001277139208173691,"frozenset({'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})"
0.001277139208173691,"frozenset({'Impossible Schezwan Fried Rice', 'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})"
0.002554278416347382,"frozenset({'Cream Of Tomato Soup', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Cream Of Tomato Soup', 'Impossible Vegetable Omelette'})"
0.001277139208173691,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice'})"
0.001277139208173691,"frozenset({'Cream Of Tomato Soup', 'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})"
0.001277139208173691,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice', 'Impossible Vegetable Omelette'})"
0.001277139208173691,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice', 'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})"
0.005108556832694764,"frozenset({'Impossible Schezwan Fried Rice', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Impossible Vegetable Laba', 'Impossible Schezwan Fried Rice'})"
0.001277139208173691,"frozenset({'Impossible Schezwan Fried Rice', 'Impossible Veg Fried Rice'})"
0.001277139208173691,"frozenset({'Kara Boondi', 'Garlic Naan'})"
0.001277139208173691,"frozenset({'Kara Boondi', 'Variety Rice - Tamarind Rice'})"
0.001277139208173691,"frozenset({'Garlic Naan', 'Variety Rice - Tamarind Rice'})"
0.001277139208173691,"frozenset({'Kara Boondi', 'Variety Rice - Tamarind Rice', 'Garlic Naan'})"
0.001277139208173691,"frozenset({'Impossible Veg Kothu Parotta', 'Rasam'})"
0.001277139208173691,"frozenset({'Cream Of Vegetable Soup', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Impossible Vegetable Laba', 'Cream Of Vegetable Soup'})"
0.001277139208173691,"frozenset({'Impossible Vegetable Laba', 'Cream Of Vegetable Soup', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Rasam Vadai', 'Impossible Veg Kothu Parotta'})"
0.001277139208173691,"frozenset({'Mango Lassi', 'Green Tea'})"
