antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Papad'}),frozenset({'Badusha'}),0.005108556832694764,0.001277139208173691,0.001277139208173691,0.25,195.75,0.0012706148699454729,1.3316304810557684,0.9999999999999998
frozenset({'Badusha'}),frozenset({'Papad'}),0.001277139208173691,0.005108556832694764,0.001277139208173691,1.0,195.75,0.0012706148699454729,inf,0.99616368286445
frozenset({'Chicken Popcorn'}),frozenset({'Chicken Wings'}),0.002554278416347382,0.001277139208173691,0.001277139208173691,0.5,391.5,0.001273877039059582,1.9974457215836525,1.0
frozenset({'Chicken Wings'}),frozenset({'Chicken Popcorn'}),0.001277139208173691,0.002554278416347382,0.001277139208173691,1.0,391.5,0.001273877039059582,inf,0.9987212276214834
frozenset({'Cream Of Tomato Soup'}),frozenset({'Impossible Schezwan Fried Rice'}),0.006385696040868455,0.04980842911877394,0.001277139208173691,0.2,4.015384615384616,0.0009590777195480592,1.1877394636015326,0.7557840616966581
frozenset({'Impossible Schezwan Fried Rice'}),frozenset({'Cream Of Tomato Soup'}),0.04980842911877394,0.006385696040868455,0.001277139208173691,0.025641025641025644,4.015384615384615,0.0009590777195480592,1.0197620488001613,0.7903225806451613
frozenset({'Cream Of Tomato Soup'}),frozenset({'Impossible Veg Kothu Parotta'}),0.006385696040868455,0.12388250319284802,0.002554278416347382,0.4,3.2288659793814434,0.0017632024061759385,1.46019582801192,0.6947300771208226
frozenset({'Impossible Veg Kothu Parotta'}),frozenset({'Cream Of Tomato Soup'}),0.12388250319284802,0.006385696040868455,0.002554278416347382,0.020618556701030927,3.228865979381443,0.0017632024061759385,1.0145324998319554,0.7879008746355683
frozenset({'Cream Of Tomato Soup'}),frozenset({'Impossible Vegetable Omelette'}),0.006385696040868455,0.019157088122605363,0.001277139208173691,0.2,10.440000000000001,0.0011548078663946018,1.2260536398467432,0.910025706940874
frozenset({'Impossible Vegetable Omelette'}),frozenset({'Cream Of Tomato Soup'}),0.019157088122605363,0.006385696040868455,0.001277139208173691,0.06666666666666668,10.440000000000001,0.0011548078663946018,1.0645867542419267,0.921875
frozenset({'Cream Of Vegetable Soup'}),frozenset({'Impossible Veg Kothu Parotta'}),0.011494252873563218,0.12388250319284802,0.001277139208173691,0.11111111111111112,0.8969072164948454,-0.00014679761013490695,0.9856321839080461,-0.10416666666666663
frozenset({'Impossible Veg Kothu Parotta'}),frozenset({'Cream Of Vegetable Soup'}),0.12388250319284802,0.011494252873563218,0.001277139208173691,0.010309278350515464,0.8969072164948454,-0.00014679761013490695,0.9988026819923371,-0.11597938144329892
frozenset({'Impossible Vegetable Laba'}),frozenset({'Cream Of Vegetable Soup'}),0.21839080459770116,0.011494252873563218,0.001277139208173691,0.005847953216374269,0.5087719298245614,-0.0012330999251332188,0.9943204868154157,-0.5526315789473684
frozenset({'Cream Of Vegetable Soup'}),frozenset({'Impossible Vegetable Laba'}),0.011494252873563218,0.21839080459770116,0.001277139208173691,0.11111111111111112,0.5087719298245614,-0.0012330999251332188,0.8793103448275862,-0.4941176470588235
frozenset({'Kara Boondi'}),frozenset({'Garlic Naan'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
